recordID,LinkToVubis
10206,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10206&Language=eng
10207,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10207&Language=eng
10208,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10208&Language=eng
10209,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10209&Language=eng
1021,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1021&Language=eng
10210,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10210&Language=eng
10211,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10211&Language=eng
10212,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10212&Language=eng
10213,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10213&Language=eng
10214,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10214&Language=eng
10215,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10215&Language=eng
10216,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10216&Language=eng
10217,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10217&Language=eng
10218,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10218&Language=eng
10219,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10219&Language=eng
1022,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1022&Language=eng
10220,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10220&Language=eng
10221,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10221&Language=eng
10222,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10222&Language=eng
10223,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10223&Language=eng
10224,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10224&Language=eng
10225,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10225&Language=eng
10226,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10226&Language=eng
10227,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10227&Language=eng
10228,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10228&Language=eng
10229,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10229&Language=eng
1023,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1023&Language=eng
10230,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10230&Language=eng
10231,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10231&Language=eng
10232,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10232&Language=eng
10233,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10233&Language=eng
10234,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10234&Language=eng
10235,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10235&Language=eng
10236,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10236&Language=eng
10237,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10237&Language=eng
10238,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10238&Language=eng
1024,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1024&Language=eng
10240,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10240&Language=eng
10241,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10241&Language=eng
10242,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10242&Language=eng
10243,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10243&Language=eng
10244,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10244&Language=eng
10245,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10245&Language=eng
10246,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10246&Language=eng
10247,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10247&Language=eng
10248,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10248&Language=eng
10249,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10249&Language=eng
1025,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1025&Language=eng
10250,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10250&Language=eng
10251,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10251&Language=eng
10252,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10252&Language=eng
10253,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10253&Language=eng
10254,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10254&Language=eng
10255,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10255&Language=eng
10256,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10256&Language=eng
10257,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10257&Language=eng
10258,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10258&Language=eng
10259,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10259&Language=eng
1026,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1026&Language=eng
10260,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10260&Language=eng
10261,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10261&Language=eng
10262,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10262&Language=eng
10263,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10263&Language=eng
10264,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10264&Language=eng
10265,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10265&Language=eng
10266,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10266&Language=eng
10267,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10267&Language=eng
10268,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10268&Language=eng
10269,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10269&Language=eng
1027,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1027&Language=eng
