"inventarisnummer","titel","kunstenaar","tag_1","tag_2","tag_3","tag_4","tag_5","tag_6","tag_7","tag_8","tag_9","tag_10"
"3845","Ochtendgloren","Richard Baseleer","{""tag"": ""abstract"", ""score"": 0.8285}","{""tag"": ""watersport"", ""score"": 0.8257}","{""tag"": ""pier"", ""score"": 0.8241}","{""tag"": ""water"", ""score"": 0.8233}","{""tag"": ""Gustave Courbet"", ""score"": 0.8224}","{""tag"": ""Oceanie"", ""score"": 0.8216}","{""tag"": ""marine"", ""score"": 0.8204}","{""tag"": ""Little Bay"", ""score"": 0.8198}","{""tag"": ""waterlelie"", ""score"": 0.8196}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8193}"
"9578","De modeontwerpster Norine","Henri-Francois Ramah","{""tag"": ""femme"", ""score"": 0.8404}","{""tag"": ""\""Etudes passionnelles de decadence\"""", ""score"": 0.8271}","{""tag"": ""vrouw"", ""score"": 0.8251}","{""tag"": ""abstract"", ""score"": 0.8211}","{""tag"": ""Madame Recamier"", ""score"": 0.8178}","{""tag"": ""Mona Lisa"", ""score"": 0.8172}","{""tag"": ""Vrouw der Weeen"", ""score"": 0.8151}","{""tag"": ""jonge vrouw"", ""score"": 0.815}","{""tag"": ""salon"", ""score"": 0.8142}","{""tag"": ""mevrouw Louis Gallait"", ""score"": 0.8135}"
"10680 / 1-12","Schetsboek","Paul Delvaux","{""tag"": ""architecture"", ""score"": 0.8327}","{""tag"": ""abstract"", ""score"": 0.8309}","{""tag"": ""stadsbebouwing"", ""score"": 0.8292}","{""tag"": ""architectuuur"", ""score"": 0.827}","{""tag"": ""atelier"", ""score"": 0.824}","{""tag"": ""Schinkel"", ""score"": 0.8231}","{""tag"": ""Musee Carnavalet"", ""score"": 0.823}","{""tag"": ""Weissenhofsiedlung"", ""score"": 0.8228}","{""tag"": ""architect"", ""score"": 0.8213}","{""tag"": ""scene"", ""score"": 0.8213}"
"4060 / 2240","Studie voor een man in een pij die de ogen ten hemel slaat","Charles Le Brun","{""tag"": ""religieuze man"", ""score"": 0.8382}","{""tag"": ""religieuze scene"", ""score"": 0.8375}","{""tag"": ""God de Vader"", ""score"": 0.8354}","{""tag"": ""profeet"", ""score"": 0.8347}","{""tag"": ""Ecce Homo"", ""score"": 0.8343}","{""tag"": ""Jezus"", ""score"": 0.8329}","{""tag"": ""Evangelist"", ""score"": 0.8324}","{""tag"": ""Pieta"", ""score"": 0.8306}","{""tag"": ""Diego Velasquez"", ""score"": 0.8305}","{""tag"": ""Peter Paul Rubens"", ""score"": 0.8304}"
"387","Linkerluik van een retabel. Voorzijde : Twee geknielde schenkers met de heiligen Johannes de Doper en Nicolaas. Keerzijde : De wijding van een bisschop","Anoniem (Zuid-Nederlandse school)","{""tag"": ""kroning"", ""score"": 0.8624}","{""tag"": ""priester"", ""score"": 0.8454}","{""tag"": ""religieuze scene"", ""score"": 0.8427}","{""tag"": ""altaar"", ""score"": 0.8419}","{""tag"": ""Baptisterium"", ""score"": 0.8409}","{""tag"": ""sacristiemeester"", ""score"": 0.8408}","{""tag"": ""Heilig Roomse Rijk"", ""score"": 0.8403}","{""tag"": ""Kroning van de Maagd"", ""score"": 0.8402}","{""tag"": ""Sacre"", ""score"": 0.8391}","{""tag"": ""Geseling van Christus"", ""score"": 0.839}"
"91","De geldteller","Willem van der Vliet (toegeschreven aan) (vroegere toeschrijvingen : Louis Le Nain ; Guido Reni ; Fabritius ; Nicolas La Fabrique : Hollandse school 17e eeuw)","{""tag"": ""geld"", ""score"": 0.8375}","{""tag"": ""goud"", ""score"": 0.8255}","{""tag"": ""rijkdom"", ""score"": 0.8221}","{""tag"": ""Gulden Vlies"", ""score"": 0.8203}","{""tag"": ""portrait"", ""score"": 0.8193}","{""tag"": ""abstract"", ""score"": 0.8184}","{""tag"": ""Diego Velazquez"", ""score"": 0.8175}","{""tag"": ""jongen"", ""score"": 0.817}","{""tag"": ""fresco"", ""score"": 0.8162}","{""tag"": ""portret van een onbekende"", ""score"": 0.8159}"
"9258","Twee hoofden (schets)","Rik Wouters","{""tag"": ""abstract"", ""score"": 0.837}","{""tag"": ""scene"", ""score"": 0.8214}","{""tag"": ""arts"", ""score"": 0.8186}","{""tag"": ""figure"", ""score"": 0.8177}","{""tag"": ""atelier"", ""score"": 0.8159}","{""tag"": ""portrait"", ""score"": 0.8157}","{""tag"": ""kubisme"", ""score"": 0.8147}","{""tag"": ""angst"", ""score"": 0.8143}","{""tag"": ""figuren"", ""score"": 0.8142}","{""tag"": ""Mona Lisa"", ""score"": 0.8141}"
"4570","Stilleven","Alfred Verhaeren","{""tag"": ""groenten"", ""score"": 0.8431}","{""tag"": ""moestuin"", ""score"": 0.8371}","{""tag"": ""fruit"", ""score"": 0.8352}","{""tag"": ""groente"", ""score"": 0.8334}","{""tag"": ""pot"", ""score"": 0.8315}","{""tag"": ""voedsel"", ""score"": 0.8313}","{""tag"": ""stilleven"", ""score"": 0.8281}","{""tag"": ""wortel"", ""score"": 0.8252}","{""tag"": ""tuinvaas"", ""score"": 0.8242}","{""tag"": ""aardappel"", ""score"": 0.8233}"
"9257","Zittende, uitgestrekte vrouw en gehurkte vrouw (schets)","Rik Wouters","{""tag"": ""hand"", ""score"": 0.8652}","{""tag"": ""handschoen"", ""score"": 0.822}","{""tag"": ""handgebaar"", ""score"": 0.8207}","{""tag"": ""palm"", ""score"": 0.8163}","{""tag"": ""abstract"", ""score"": 0.8163}","{""tag"": ""op handen en voeten"", ""score"": 0.8159}","{""tag"": ""handschoenen"", ""score"": 0.813}","{""tag"": ""Mona Lisa"", ""score"": 0.8105}","{""tag"": ""penseel"", ""score"": 0.8078}","{""tag"": ""Ecce Homo"", ""score"": 0.8077}"
"9643","Abstracte compositie","Felix De Boeck","{""tag"": ""abstract"", ""score"": 0.8499}","{""tag"": ""geometrie"", ""score"": 0.8314}","{""tag"": ""kubisme"", ""score"": 0.8234}","{""tag"": ""geometrisch"", ""score"": 0.8232}","{""tag"": ""geometrische versiering"", ""score"": 0.8203}","{""tag"": ""arts"", ""score"": 0.82}","{""tag"": ""scene"", ""score"": 0.8164}","{""tag"": ""kunst"", ""score"": 0.8143}","{""tag"": ""Societe Nationale des Beaux-Arts"", ""score"": 0.8129}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8129}"
