"inventarisnummer","titel","kunstenaar","tag_1","tag_2","tag_3","tag_4","tag_5","tag_6","tag_7","tag_8","tag_9","tag_10"
"10440 / 17","Design from Belgium (the Design Centre, London, 26.03 - 26.04.1969)","Michel Olyff","{""tag"": ""abstract"", ""score"": 0.8332}","{""tag"": ""affiche"", ""score"": 0.8237}","{""tag"": ""Brussel"", ""score"": 0.8195}","{""tag"": ""Salon van Antwerpen"", ""score"": 0.8179}","{""tag"": ""geometrie"", ""score"": 0.8173}","{""tag"": ""tentoonstelling"", ""score"": 0.8169}","{""tag"": ""Antwerpen"", ""score"": 0.8169}","{""tag"": ""Paleis voor Schone Kunsten"", ""score"": 0.8156}","{""tag"": ""Wereldtentoonstelling"", ""score"": 0.8153}","{""tag"": ""Belgique II"", ""score"": 0.8147}"
"12316","Jonge meisjes in de kerk","Constantin Meunier","{""tag"": ""lamp"", ""score"": 0.8513}","{""tag"": ""olielamp"", ""score"": 0.8361}","{""tag"": ""licht"", ""score"": 0.8357}","{""tag"": ""verlichting"", ""score"": 0.8331}","{""tag"": ""heilige Lucia"", ""score"": 0.8325}","{""tag"": ""religieuze scene"", ""score"": 0.8318}","{""tag"": ""kandelaber"", ""score"": 0.8308}","{""tag"": ""religieuze vrouw"", ""score"": 0.8302}","{""tag"": ""maanlicht"", ""score"": 0.8292}","{""tag"": ""oude vrouw"", ""score"": 0.8271}"
"4101 A","Charles Malaise, beeldhouwer en conservator van het Museum van Brussel (1775-1836)","Gilles-Lambert Godecharle","{""tag"": ""buste"", ""score"": 0.8422}","{""tag"": ""statue"", ""score"": 0.8207}","{""tag"": ""portrait"", ""score"": 0.8175}","{""tag"": ""man"", ""score"": 0.8174}","{""tag"": ""torso"", ""score"": 0.8172}","{""tag"": ""humanisme"", ""score"": 0.8145}","{""tag"": ""Socrates"", ""score"": 0.8142}","{""tag"": ""abstract"", ""score"": 0.8138}","{""tag"": ""homme"", ""score"": 0.8121}","{""tag"": ""arts"", ""score"": 0.811}"
"1448","De gerechtigheid van keizer Otto: De vuurproef","Dirk Bouts","{""tag"": ""scene"", ""score"": 0.8274}","{""tag"": ""tiara"", ""score"": 0.825}","{""tag"": ""decor"", ""score"": 0.8245}","{""tag"": ""Renaissance"", ""score"": 0.8243}","{""tag"": ""renaissance"", ""score"": 0.8241}","{""tag"": ""portrait"", ""score"": 0.8236}","{""tag"": ""arts"", ""score"": 0.8234}","{""tag"": ""abstract"", ""score"": 0.8233}","{""tag"": ""Diego Velazquez"", ""score"": 0.8232}","{""tag"": ""fresco"", ""score"": 0.8224}"
"8370","Imperial Airways","Marc Severin","{""tag"": ""vliegtuig"", ""score"": 0.8426}","{""tag"": ""luchtschip"", ""score"": 0.839}","{""tag"": ""ongewoon luchtvaartuig"", ""score"": 0.8333}","{""tag"": ""ruimtevaartuig"", ""score"": 0.8256}","{""tag"": ""aerostaat"", ""score"": 0.8247}","{""tag"": ""vlieg"", ""score"": 0.8242}","{""tag"": ""raaf"", ""score"": 0.8237}","{""tag"": ""watersport"", ""score"": 0.8237}","{""tag"": ""abstract"", ""score"": 0.8237}","{""tag"": ""vertrek"", ""score"": 0.8213}"
"8638","Portret van Juffrouw Helene de Burlet","Jacques de Lalaing","{""tag"": ""Mona Lisa"", ""score"": 0.8314}","{""tag"": ""femme"", ""score"": 0.8299}","{""tag"": ""abstract"", ""score"": 0.8298}","{""tag"": ""portrait"", ""score"": 0.8258}","{""tag"": ""Camille Pissarro"", ""score"": 0.8187}","{""tag"": ""Madame Recamier"", ""score"": 0.8178}","{""tag"": ""arts"", ""score"": 0.8165}","{""tag"": ""Claude Renoir"", ""score"": 0.8164}","{""tag"": ""Louise Riesener"", ""score"": 0.816}","{""tag"": ""Portret"", ""score"": 0.8146}"
"9712","Stervende moeder","Felix De Boeck","{""tag"": ""abstract"", ""score"": 0.8481}","{""tag"": ""Mona Lisa"", ""score"": 0.8237}","{""tag"": ""arts"", ""score"": 0.819}","{""tag"": ""penseel"", ""score"": 0.8169}","{""tag"": ""portrait"", ""score"": 0.8165}","{""tag"": ""Art universel"", ""score"": 0.8156}","{""tag"": ""atelier"", ""score"": 0.8134}","{""tag"": ""fresco"", ""score"": 0.8133}","{""tag"": ""kubisme"", ""score"": 0.8133}","{""tag"": ""figure"", ""score"": 0.8118}"
"6001","De bekoring van de heilige Antonius","Pieter Huys (navolger van)","{""tag"": ""chaos"", ""score"": 0.8301}","{""tag"": ""Vrouw der Weeen"", ""score"": 0.8282}","{""tag"": ""scene"", ""score"": 0.8282}","{""tag"": ""militaire scene"", ""score"": 0.8273}","{""tag"": ""abstract"", ""score"": 0.8264}","{""tag"": ""historische scene"", ""score"": 0.8245}","{""tag"": ""fresco"", ""score"": 0.8232}","{""tag"": ""mythologische scene"", ""score"": 0.823}","{""tag"": ""femme"", ""score"": 0.8228}","{""tag"": ""vrouw"", ""score"": 0.8223}"
"11389","Venus zit schrijlings op een sater","Dirck de Quade van Ravesteyn","{""tag"": ""faun"", ""score"": 0.8501}","{""tag"": ""centaur"", ""score"": 0.8405}","{""tag"": ""mythologische scene"", ""score"": 0.8388}","{""tag"": ""bacchante"", ""score"": 0.8384}","{""tag"": ""Eros"", ""score"": 0.8348}","{""tag"": ""putto"", ""score"": 0.8329}","{""tag"": ""Bacchus"", ""score"": 0.8326}","{""tag"": ""Daphnis en Chloe"", ""score"": 0.8314}","{""tag"": ""Bacchanaal"", ""score"": 0.8283}","{""tag"": ""Cupido"", ""score"": 0.8281}"
"376","Triptiek met de aanbidding der wijzen. Middenpaneel : De aanbidding der wijzen ; linkerluik : De geboorte ; rechterluik : De vlucht naar Egypte","Meester van de Brusselse Aanbidding der Wijzen","{""tag"": ""Maria Magdalena"", ""score"": 0.8571}","{""tag"": ""Geboorte van de heilige Maagd"", ""score"": 0.8529}","{""tag"": ""Maria"", ""score"": 0.8514}","{""tag"": ""Santa Maria la Nuova"", ""score"": 0.8511}","{""tag"": ""de Maagd met het Kind"", ""score"": 0.8505}","{""tag"": ""heilige Maria-Magdalena"", ""score"": 0.8502}","{""tag"": ""Maagd met het Kind"", ""score"": 0.8484}","{""tag"": ""Bethlehem"", ""score"": 0.8483}","{""tag"": ""Maagd"", ""score"": 0.8468}","{""tag"": ""heilige Maria Magdalena"", ""score"": 0.8467}"
"1184","Landschap","Joseph Perlau","{""tag"": ""herder"", ""score"": 0.811}","{""tag"": ""Jan Brueghel I"", ""score"": 0.8096}","{""tag"": ""Lambert van Overschie"", ""score"": 0.8069}","{""tag"": ""herderin"", ""score"": 0.8068}","{""tag"": ""landschap op de achtergrond"", ""score"": 0.8067}","{""tag"": ""houten paard"", ""score"": 0.8065}","{""tag"": ""Erymantisch zwijn"", ""score"": 0.8062}","{""tag"": ""landschap op achtergrond"", ""score"": 0.8058}","{""tag"": ""Lambert de Liverlo"", ""score"": 0.8052}","{""tag"": ""Lambert van der Horst"", ""score"": 0.8043}"
"11580","Drie studies van een naakte vrouw op de rug gezien","Rik Wouters","{""tag"": ""femme"", ""score"": 0.8375}","{""tag"": ""abstract"", ""score"": 0.8325}","{""tag"": ""Camille Desmoulins"", ""score"": 0.8232}","{""tag"": ""\""Etudes passionnelles de decadence\"""", ""score"": 0.8208}","{""tag"": ""Paulette Deman"", ""score"": 0.8192}","{""tag"": ""Nancy"", ""score"": 0.818}","{""tag"": ""vrouw"", ""score"": 0.8175}","{""tag"": ""Musee Carnavalet"", ""score"": 0.817}","{""tag"": ""Mona Lisa"", ""score"": 0.8163}","{""tag"": ""Mommen"", ""score"": 0.8152}"
